No,context,category
1,"Kami menawarkan tiga paket langganan: Dasar, Pro, dan Premium. Paket Dasar mulai dari Rp100.000/bulan.",Paket Harga
2,"Paket Pro kami seharga Rp250.000/bulan, dengan fitur tambahan seperti analitik dan laporan kinerja.",Paket Harga
3,"Paket Premium adalah Rp500.000/bulan dan mencakup semua fitur, termasuk dukungan prioritas.",Paket Harga
4,Anda dapat mengupgrade atau downgrade paket langganan Anda kapan saja melalui akun Anda.,Paket Harga
5,Kami menawarkan diskon 10% untuk langganan tahunan. Silakan cek situs kami untuk detail lebih lanjut.,Paket Harga
6,Setiap paket langganan memiliki masa percobaan gratis selama 14 hari. Anda dapat mendaftar di situs kami.,Paket Harga
7,"Jika Anda memiliki pertanyaan lebih lanjut tentang paket harga, jangan ragu untuk menghubungi kami.",Kontak
8,Semua paket termasuk pembaruan otomatis dan akses ke fitur baru yang diluncurkan.,Paket Harga
9,"Paket langganan dapat dibayar menggunakan berbagai metode pembayaran, termasuk kartu kredit dan e-wallet.",Pembayaran
10,Silakan kunjungi halaman 'Harga' di situs kami untuk informasi lebih lengkap tentang setiap paket.,Paket Harga
